sampleName	fileName	sample	Temp	Reef.Site.Name	condition	path	replaceable
ES5-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES5-30A/results0920_kallisto_Spis_Smic/abundance.h5	ES5_30A	30	ICN	30_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES5-30A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES5-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES5-33A/results0920_kallisto_Spis_Smic/abundance.h5	ES5_33A	33	ICN	33_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES5-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES5-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES5-36A/results0920_kallisto_Spis_Smic/abundance.h5	ES5_36A	36	ICN	36_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES5-36A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES6-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES6-33A/results0920_kallisto_Spis_Smic/abundance.h5	ES6_33A	33	ICN	33_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES6-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES6-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES6-36A/results0920_kallisto_Spis_Smic/abundance.h5	ES6_36A	36	ICN	36_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES6-36A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES7-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES7-30A/results0920_kallisto_Spis_Smic/abundance.h5	ES7_30A	30	ICN	30_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES7-30A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES7-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES7-33A/results0920_kallisto_Spis_Smic/abundance.h5	ES7_33A	33	ICN	33_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES7-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES7-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES7-36A/results0920_kallisto_Spis_Smic/abundance.h5	ES7_36A	36	ICN	36_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES7-36A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
KS1-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS1-30A/results0920_kallisto_Spis_Smic/abundance.h5	KS1_30A	30	AF	30_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS1-30A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS1-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS1-33A/results0920_kallisto_Spis_Smic/abundance.h5	KS1_33A	33	AF	33_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS1-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
KS1-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS1-36A/results0920_kallisto_Spis_Smic/abundance.h5	KS1_36A	36	AF	36_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS1-36A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS2-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS2-30A/results0920_kallisto_Spis_Smic/abundance.h5	KS2_30A	30	AF	30_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS2-30A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS2-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS2-36A/results0920_kallisto_Spis_Smic/abundance.h5	KS2_36A	36	AF	36_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS2-36A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS3-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS3-30A/results0920_kallisto_Spis_Smic/abundance.h5	KS3_30A	30	AF	30_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS3-30A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS3-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS3-33A/results0920_kallisto_Spis_Smic/abundance.h5	KS3_33A	33	AF	33_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS3-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
KS3-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS3-36A/results0920_kallisto_Spis_Smic/abundance.h5	KS3_36A	36	AF	36_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS3-36A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS4-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS4-30A/results0920_kallisto_Spis_Smic/abundance.h5	KS4_30A	30	AF	30_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS4-30A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS4-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS4-33A/results0920_kallisto_Spis_Smic/abundance.h5	KS4_33A	33	AF	33_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS4-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
KS4-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS4-36A/results0920_kallisto_Spis_Smic/abundance.h5	KS4_36A	36	AF	36_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS4-36A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS5-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS5-30A/results0920_kallisto_Spis_Smic/abundance.h5	KS5_30A	30	AF	30_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS5-30A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS5-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS5-33A/results0920_kallisto_Spis_Smic/abundance.h5	KS5_33A	33	AF	33_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS5-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
KS5-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS5-36A/results0920_kallisto_Spis_Smic/abundance.h5	KS5_36A	36	AF	36_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS5-36A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS6-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS6-30A/results0920_kallisto_Spis_Smic/abundance.h5	KS6_30A	30	AF	30_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS6-30A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS6-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS6-33A/results0920_kallisto_Spis_Smic/abundance.h5	KS6_33A	33	AF	33_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS6-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
KS6-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS6-36A/results0920_kallisto_Spis_Smic/abundance.h5	KS6_36A	36	AF	36_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS6-36A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS7-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS7-30A/results0920_kallisto_Spis_Smic/abundance.h5	KS7_30A	30	AF	30_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS7-30A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
KS7-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS7-33A/results0920_kallisto_Spis_Smic/abundance.h5	KS7_33A	33	AF	33_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS7-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
KS7-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS7-36A/results0920_kallisto_Spis_Smic/abundance.h5	KS7_36A	36	AF	36_AF	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/KS7-36A/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S1-E-ST-30B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-E-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	S1_E_ST_30B	30	ExT	30_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-E-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S1-E-ST-33B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-E-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	S1_E_ST_33B	33	ExT	33_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-E-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S1-E-ST-36B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-E-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	S1_E_ST_36B	36	ExT	36_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-E-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S1-P-ST-30B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-P-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	S1_P_ST_30B	30	PrT	30_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-P-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S1-P-ST-33B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-P-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	S1_P_ST_33B	33	PrT	33_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-P-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S1-P-ST-36B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-P-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	S1_P_ST_36B	36	PrT	36_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S1-P-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
S2-E-ST-30B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-E-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	S2_E_ST_30B	30	ExT	30_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-E-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S2-E-ST-33B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-E-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	S2_E_ST_33B	33	ExT	33_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-E-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S2-E-ST-36B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-E-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	S2_E_ST_36B	36	ExT	36_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-E-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S2-P-ST-30B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-P-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	S2_P_ST_30B	30	PrT	30_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-P-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S2-P-ST-33B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-P-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	S2_P_ST_33B	33	PrT	33_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-P-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S2-P-ST-36B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-P-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	S2_P_ST_36B	36	PrT	36_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S2-P-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
S3-E-ST-30B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-E-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	S3_E_ST_30B	30	ExT	30_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-E-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S3-E-ST-33B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-E-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	S3_E_ST_33B	33	ExT	33_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-E-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S3-E-ST-36B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-E-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	S3_E_ST_36B	36	ExT	36_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-E-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S3-P-ST-30B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-P-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	S3_P_ST_30B	30	PrT	30_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-P-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S3-P-ST-33B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-P-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	S3_P_ST_33B	33	PrT	33_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-P-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S3-P-ST-36B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-P-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	S3_P_ST_36B	36	PrT	36_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S3-P-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
S4-E-ST-30B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-E-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	S4_E_ST_30B	30	ExT	30_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-E-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S4-E-ST-33B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-E-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	S4_E_ST_33B	33	ExT	33_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-E-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S4-E-ST-36B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-E-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	S4_E_ST_36B	36	ExT	36_ExT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-E-ST-36B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S4-P-ST-30B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-P-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	S4_P_ST_30B	30	PrT	30_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-P-ST-30B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
S4-P-ST-33B	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-P-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	S4_P_ST_33B	33	PrT	33_PrT	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/S4-P-ST-33B/results0920_kallisto_Spis_Smic/abundance.h5	TRUE
